ip,status,bytes_sent,hour,day_of_week,is_night,is_api_call,is_admin_call,endpoint_length,is_error,is_success,is_redirect,ua_length,ua_is_missing,ua_has_bot_like_keyword,ua_has_browser_keyword,referrer_is_missing,referrer_is_internal,ml_pred,final_prediction
203.202.242.20,404,162,4,2,1,0,0,40,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,36,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,55,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,59,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,55,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,54,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,55,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,56,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,57,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,54,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,57,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,56,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,59,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,1,0,55,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,56,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,55,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,55,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,1,57,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,58,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,56,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,68,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,57,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,58,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,56,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,55,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,109,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,116,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,126,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,50,1,0,0,15,0,0,0,1,0,1,1
203.202.242.20,404,162,4,2,1,0,0,16,1,0,0,15,0,0,0,1,0,1,1
201.20.85.123,404,162,4,2,1,0,0,1,1,0,0,139,0,0,1,1,0,1,1
91.224.92.14,404,196,5,2,1,0,0,1,1,0,0,130,0,0,1,1,0,1,1
91.224.92.17,404,162,5,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1
113.199.229.4,200,601,5,2,1,0,0,6,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,336,5,2,1,0,0,23,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,1427,5,2,1,0,0,29,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,586,5,2,1,0,0,22,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,663820,5,2,1,0,0,33,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,18052,5,2,1,0,0,11,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,2404787,5,2,1,0,0,27,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,325914,5,2,1,0,0,59,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,102868,5,2,1,0,0,52,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,104332,5,2,1,0,0,52,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,98868,5,2,1,0,0,54,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,106140,5,2,1,0,0,51,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,67,5,2,1,1,0,13,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,980,5,2,1,0,0,14,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,206,1555953,5,2,1,0,0,46,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,206,34503,5,2,1,0,0,46,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,206,3770055,5,2,1,0,0,46,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,401,28,5,2,1,1,0,13,1,0,0,125,0,0,1,1,0,1,1
113.199.229.4,204,0,5,2,1,1,0,13,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,67,5,2,1,1,0,13,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,2122,5,2,1,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,329,5,2,1,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,329,5,2,1,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,64502,5,2,1,0,0,32,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,509371,5,2,1,0,0,32,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,74190,5,2,1,0,0,31,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,3,5,2,1,1,0,34,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,973,5,2,1,1,0,73,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
